title,category,summary,authors
Learning Chordal Markov Networks by Constraint Satisfaction,Artificial Intelligence,"We investigate the problem of learning the structure of a Markov network from
data. It is shown that the structure of such networks can be described in terms
of constraints which enables the use of existing solver technology with
optimization capabilities to compute optimal networks starting from initial
scores computed from the data. To achieve efficient encodings, we develop a
novel characterization of Markov network structure using a balancing condition
on the separators between cliques forming the network. The resulting
translations into propositional satisfiability and its extensions such as
maximum satisfiability, satisfiability modulo theories, and answer set
programming, enable us to prove optimal certain network structures which have
been previously found by stochastic search.","['Jukka Corander', 'Tomi Janhunen', 'Jussi Rintanen', 'Henrik Nyman', 'Johan Pensar']"
3D Semantic Trajectory Reconstruction from 3D Pixel Continuum,Computer Vision and Pattern Recognition,"This paper presents a method to reconstruct dense semantic trajectory stream
of human interactions in 3D from synchronized multiple videos. The interactions
inherently introduce self-occlusion and illumination/appearance/shape changes,
resulting in highly fragmented trajectory reconstruction with noisy and coarse
semantic labels. Our conjecture is that among many views, there exists a set of
views that can confidently recognize the visual semantic label of a 3D
trajectory. We introduce a new representation called 3D semantic map---a
probability distribution over the semantic labels per trajectory. We construct
the 3D semantic map by reasoning about visibility and 2D recognition confidence
based on view-pooling, i.e., finding the view that best represents the
semantics of the trajectory. Using the 3D semantic map, we precisely infer all
trajectory labels jointly by considering the affinity between long range
trajectories via estimating their local rigid transformations. This inference
quantitatively outperforms the baseline approaches in terms of predictive
validity, representation robustness, and affinity effectiveness. We demonstrate
that our algorithm can robustly compute the semantic labels of a large scale
trajectory set involving real-world human interactions with object, scenes, and
people.","['Jae Shin Yoon', 'Ziwei Li', 'Hyun Soo Park']"
Enhanced version of AdaBoostM1 with J48 Tree learning method,Machine Learning (Statistics),"Machine Learning focuses on the construction and study of systems that can
learn from data. This is connected with the classification problem, which
usually is what Machine Learning algorithms are designed to solve. When a
machine learning method is used by people with no special expertise in machine
learning, it is important that the method be robust in classification, in the
sense that reasonable performance is obtained with minimal tuning of the
problem at hand. Algorithms are evaluated based on how robust they can classify
the given data. In this paper, we propose a quantifiable measure of robustness,
and describe a particular learning method that is robust according to this
measure in the context of classification problem. We proposed Adaptive Boosting
(AdaBoostM1) with J48(C4.5 tree) as a base learner with tuning weight threshold
(P) and number of iterations (I) for boosting algorithm. To benchmark the
performance, we used the baseline classifier, AdaBoostM1 with Decision Stump as
base learner without tuning parameters. By tuning parameters and using J48 as
base learner, we are able to reduce the overall average error rate ratio
(errorC/errorNB) from 2.4 to 0.9 for development sets of data and 2.1 to 1.2
for evaluation sets of data.","['Kyongche Kang', 'Jack Michalak']"
Multitask Prompt Tuning Enables Parameter-Efficient Transfer Learning,Computation and Language (Natural Language Processing),"Prompt tuning, in which a base pretrained model is adapted to each task via
conditioning on learned prompt vectors, has emerged as a promising approach for
efficiently adapting large language models to multiple downstream tasks.
However, existing methods typically learn soft prompt vectors from scratch, and
it has not been clear how to exploit the rich cross-task knowledge with prompt
vectors in a multitask learning setting. We propose multitask prompt tuning
(MPT), which first learns a single transferable prompt by distilling knowledge
from multiple task-specific source prompts. We then learn multiplicative low
rank updates to this shared prompt to efficiently adapt it to each downstream
target task. Extensive experiments on 23 NLP datasets demonstrate that our
proposed approach outperforms the state-of-the-art methods, including the full
finetuning baseline in some cases, despite only tuning 0.035% as many
task-specific parameters.","['Zhen Wang', 'Rameswar Panda', 'Leonid Karlinsky', 'Rogerio Feris', 'Huan Sun', 'Yoon Kim']"
Reinforcement Learning using Guided Observability,Machine Learning,"Due to recent breakthroughs, reinforcement learning (RL) has demonstrated
impressive performance in challenging sequential decision-making problems.
However, an open question is how to make RL cope with partial observability
which is prevalent in many real-world problems. Contrary to contemporary RL
approaches, which focus mostly on improved memory representations or strong
assumptions about the type of partial observability, we propose a simple but
efficient approach that can be applied together with a wide variety of RL
methods. Our main insight is that smoothly transitioning from full
observability to partial observability during the training process yields a
high performance policy. The approach, called partially observable guided
reinforcement learning (PO-GRL), allows to utilize full state information
during policy optimization without compromising the optimality of the final
policy. A comprehensive evaluation in discrete partially observableMarkov
decision process (POMDP) benchmark problems and continuous partially observable
MuJoCo and OpenAI gym tasks shows that PO-GRL improves performance. Finally, we
demonstrate PO-GRL in the ball-in-the-cup task on a real Barrett WAM robot
under partial observability.","['Stephan Weigand', 'Pascal Klink', 'Jan Peters', 'Joni Pajarinen']"
"Restoration of Non-rigidly Distorted Underwater Images using a
  Combination of Compressive Sensing and Local Polynomial Image Representations",Computer Vision and Pattern Recognition,"Images of static scenes submerged beneath a wavy water surface exhibit severe
non-rigid distortions. The physics of water flow suggests that water surfaces
possess spatio-temporal smoothness and temporal periodicity. Hence they possess
a sparse representation in the 3D discrete Fourier (DFT) basis. Motivated by
this, we pose the task of restoration of such video sequences as a compressed
sensing (CS) problem. We begin by tracking a few salient feature points across
the frames of a video sequence of the submerged scene. Using these point
trajectories, we show that the motion fields at all other (non-tracked) points
can be effectively estimated using a typical CS solver. This by itself is a
novel contribution in the field of non-rigid motion estimation. We show that
this method outperforms state of the art algorithms for underwater image
restoration. We further consider a simple optical flow algorithm based on local
polynomial expansion of the image frames (PEOF). Surprisingly, we demonstrate
that PEOF is more efficient and often outperforms all the state of the art
methods in terms of numerical measures. Finally, we demonstrate that a
two-stage approach consisting of the CS step followed by PEOF much more
accurately preserves the image structure and improves the (visual as well as
numerical) video quality as compared to just the PEOF stage.","['Jerin Geo James', 'Pranay Agrawal', 'Ajit Rajwade']"
Customer 360-degree Insights in Predicting Chronic Diabetes,Machine Learning,"Chronic diseases such as diabetes are quite prevalent in the world and are
responsible for a significant number of deaths per year. In addition,
treatments for such chronic diseases account for a high healthcare cost.
However, research has shown that diabetes can be proactively managed and
prevented while lowering these healthcare costs. We have mined a sample of ten
million customers' 360-degree data representing the state of Texas, USA, with
attributes current as of late 2018. The sample received from a market research
data vendor has over 1000 customer attributes consisting of demography,
lifestyle, and in some cases self-reported chronic conditions. In this study,
we have developed a classification model to predict chronic diabetes with an
accuracy of 80%. We demonstrate a use case where a large volume of 360-degree
customer data can be useful to predict and hence proactively prevent chronic
diseases such as diabetes.","['Asish Satpathy', 'Satyajit Behari']"
Generative Adversarial Symmetry Discovery,Machine Learning,"Despite the success of equivariant neural networks in scientific
applications, they require knowing the symmetry group a priori. However, it may
be difficult to know which symmetry to use as an inductive bias in practice.
Enforcing the wrong symmetry could even hurt the performance. In this paper, we
propose a framework, LieGAN, to automatically discover equivariances from a
dataset using a paradigm akin to generative adversarial training. Specifically,
a generator learns a group of transformations applied to the data, which
preserve the original distribution and fool the discriminator. LieGAN
represents symmetry as interpretable Lie algebra basis and can discover various
symmetries such as the rotation group $\mathrm{SO}(n)$, restricted Lorentz
group $\mathrm{SO}(1,3)^+$ in trajectory prediction and top-quark tagging
tasks. The learned symmetry can also be readily used in several existing
equivariant neural networks to improve accuracy and generalization in
prediction.","['Jianke Yang', 'Robin Walters', 'Nima Dehmamy', 'Rose Yu']"
Intra-Camera Supervised Person Re-Identification,Computer Vision and Pattern Recognition,"Existing person re-identification (re-id) methods mostly exploit a large set
of cross-camera identity labelled training data. This requires a tedious data
collection and annotation process, leading to poor scalability in practical
re-id applications. On the other hand unsupervised re-id methods do not need
identity label information, but they usually suffer from much inferior and
insufficient model performance. To overcome these fundamental limitations, we
propose a novel person re-identification paradigm based on an idea of
independent per-camera identity annotation. This eliminates the most
time-consuming and tedious inter-camera identity labelling process,
significantly reducing the amount of human annotation efforts. Consequently, it
gives rise to a more scalable and more feasible setting, which we call
Intra-Camera Supervised (ICS) person re-id, for which we formulate a Multi-tAsk
mulTi-labEl (MATE) deep learning method. Specifically, MATE is designed for
self-discovering the cross-camera identity correspondence in a per-camera
multi-task inference framework. Extensive experiments demonstrate the
cost-effectiveness superiority of our method over the alternative approaches on
three large person re-id datasets. For example, MATE yields 88.7% rank-1 score
on Market-1501 in the proposed ICS person re-id setting, significantly
outperforming unsupervised learning models and closely approaching conventional
fully supervised learning competitors.","['Xiangping Zhu', 'Xiatian Zhu', 'Minxian Li', 'Pietro Morerio', 'Vittorio Murino', 'Shaogang Gong']"
Improving Learning from Demonstrations by Learning from Experience,Artificial Intelligence,"How to make imitation learning more general when demonstrations are
relatively limited has been a persistent problem in reinforcement learning
(RL). Poor demonstrations lead to narrow and biased date distribution,
non-Markovian human expert demonstration makes it difficult for the agent to
learn, and over-reliance on sub-optimal trajectories can make it hard for the
agent to improve its performance. To solve these problems we propose a new
algorithm named TD3fG that can smoothly transition from learning from experts
to learning from experience. Our algorithm achieves good performance in the
MUJOCO environment with limited and sub-optimal demonstrations. We use behavior
cloning to train the network as a reference action generator and utilize it in
terms of both loss function and exploration noise. This innovation can help
agents extract a priori knowledge from demonstrations while reducing the
detrimental effects of the poor Markovian properties of the demonstrations. It
has a better performance compared to the BC+ fine-tuning and DDPGfD approach,
especially when the demonstrations are relatively limited. We call our method
TD3fG meaning TD3 from a generator.","['Haofeng Liu', 'Yiwen Chen', 'Jiayi Tan', 'Marcelo H Ang Jr']"
